z_nm,phi_V
0.0,-2.5235863444224004e-11
0.008375,-0.0012208687411225318
0.01675,-0.0024417374570092003
0.025125,-0.0036626061728958687
0.0335,-0.004883474888782537
0.041874999999999996,-0.006104343604669205
0.05025,-0.007325212320555874
0.058625000000000003,-0.008546081036442542
0.067,-0.00976694975232921
0.075375,-0.01098781846821588
0.08374999999999999,-0.012208687184102548
0.092125,-0.013429555899989218
0.1005,-0.014650424615875887
0.108875,-0.015871293331762557
0.11725000000000001,-0.017092162047649226
0.125625,-0.018313030763535895
0.134,-0.019533899479422565
0.142375,-0.020754768195309234
0.15075,-0.021975636911195903
0.15912500000000002,-0.023196505627082573
0.16749999999999998,-0.024417374342969242
0.175875,-0.02563824305885591
0.18425,-0.02685911177474258
0.192625,-0.02807998049062925
0.201,-0.02930084920651592
0.209375,-0.03052171792240259
0.21775,-0.03174258663828926
0.22612500000000002,-0.03296345535417593
0.23450000000000001,-0.0341843240700626
0.242875,-0.035405192785949266
0.25125,-0.036626061501835935
0.259625,-0.037846930217722605
0.268,-0.039067798933609274
0.276375,-0.04028866764949594
0.28475,-0.04150953636538261
0.293125,-0.04273040508126929
0.3015,-0.043951273797155965
0.309875,-0.045172142513042635
0.31825000000000003,-0.04639301122892931
0.326625,-0.048346401174347985
0.33499999999999996,-0.05322987603789469
0.34337500000000004,-0.058113350901441395
0.35175,-0.0629968257649881
0.360125,-0.06788030062853481
0.3685,-0.07276377549208152
0.376875,-0.07764725035562822
0.38525,-0.08253072521917491
0.393625,-0.08741420008272162
0.402,-0.09229767494626831
0.410375,-0.097181149809815
0.41875,-0.1020646246733617
0.42712500000000003,-0.1069480995369084
0.4355,-0.11183157440045509
0.443875,-0.1167150492640018
0.45225000000000004,-0.12159852412754849
0.460625,-0.12355191407296719
0.46900000000000003,-0.12477278278885387
0.477375,-0.12599365150474054
0.48575,-0.12721452022062724
0.494125,-0.1284353889365139
0.5025,-0.1296562576524006
0.5108750000000001,-0.13087712636828727
0.51925,-0.13209799508417397
0.527625,-0.13331886380006067
0.536,-0.13453973251594736
0.5443749999999999,-0.13576060123183406
0.55275,-0.13698146994772076
0.561125,-0.13820233866360743
0.5695,-0.13942320737949412
0.577875,-0.1406440760953808
0.58625,-0.1418649448112675
0.594625,-0.14308581352715416
0.603,-0.14430668224304086
0.611375,-0.14552755095892753
0.61975,-0.14674841967481422
0.628125,-0.1479692883907009
0.6365000000000001,-0.1491901571065876
0.644875,-0.15041102582247426
0.65325,-0.15163189453836093
0.661625,-0.1528527632542476
0.6699999999999999,-0.15407363197013427
0.6783750000000001,-0.15529450068602094
0.6867500000000001,-0.1565153694019076
0.695125,-0.1577362381177943
0.7035,-0.15895710683368097
0.711875,-0.16017797554956767
0.72025,-0.16139884426545434
0.7286250000000001,-0.16261971298134104
0.737,-0.1638405816972277
0.745375,-0.1650614504131144
0.75375,-0.1662823191290011
0.7621249999999999,-0.16750318784488777
0.7705,-0.16872405656077447
0.7788750000000001,-0.16994492527666114
0.78725,-0.17189831522207985
0.795625,-0.17678179008562675
0.804,-0.18166526494917368
0.812375,-0.1865487398127206
0.82075,-0.1914322146762675
0.829125,-0.19631568953981443
0.8375,-0.20119916440336133
0.845875,-0.20608263926690826
0.8542500000000001,-0.21096611413045518
0.862625,-0.21584958899400208
0.871,-0.220733063857549
0.879375,-0.22561653872109594
0.88775,-0.23050001358464284
0.8961250000000001,-0.23538348844818976
0.9045000000000001,-0.2402669633117367
0.912875,-0.2451504381752836
0.92125,-0.24710382812070236
0.929625,-0.2483246968365891
0.9380000000000001,-0.2495455655524758
0.9463750000000001,-0.25076643426836254
0.95475,-0.25198730298424926
0.963125,-0.253208171700136
0.9715,-0.2544290404160227
0.9798749999999999,-0.2556499091319095
0.98825,-0.2568707778477962
0.996625,-0.25809164656368294
1.005,-0.25931251527956967
1.013375,-0.26053338399545645
1.0217500000000002,-0.26175425271134317
1.0301250000000002,-0.2629751214272299
1.0385,-0.2641959901431166
1.046875,-0.26541685885900335
1.05525,-0.26663772757489007
1.063625,-0.2678585962907768
1.072,-0.2690794650066635
1.080375,-0.27030033372255025
1.0887499999999999,-0.27152120243843697
1.097125,-0.2727420711543237
1.1055,-0.2739629398702105
1.113875,-0.2751838085860972
1.12225,-0.2764046773019839
1.1306250000000002,-0.27762554601787065
1.139,-0.27884641473375743
1.147375,-0.28006728344964416
1.15575,-0.2812881521655309
1.164125,-0.2825090208814176
1.1725,-0.2837298895973044
1.1808750000000001,-0.2849507583131911
1.18925,-0.28617162702907784
1.197625,-0.28739249574496456
1.206,-0.28861336446085134
1.214375,-0.28983423317673807
1.22275,-0.2910551018926248
1.231125,-0.29227597060851157
1.2395,-0.29349683932439835
1.247875,-0.2954502292698172
1.25625,-0.30033370413336435
1.264625,-0.30521717899691153
1.2730000000000001,-0.3101006538604587
1.281375,-0.3149841287240059
1.28975,-0.31986760358755306
1.298125,-0.32475107845110024
1.3065,-0.3296345533146474
1.314875,-0.3345180281781946
1.32325,-0.33940150304174177
1.3316249999999998,-0.34428497790528895
1.3399999999999999,-0.3491684527688361
1.348375,-0.3540519276323833
1.3567500000000001,-0.3589354024959305
1.3651250000000001,-0.36381887735947765
1.3735000000000002,-0.3687023522230248
1.381875,-0.3706557421684437
1.39025,-0.37187661088433055
1.398625,-0.3730974796002174
1.407,-0.3743183483161042
1.415375,-0.37553921703199106
1.42375,-0.3767600857478779
1.4321249999999999,-0.37798095446376473
1.4405,-0.3792018231796515
1.4488750000000001,-0.38042269189553835
1.4572500000000002,-0.3816435606114252
1.4656250000000002,-0.382864429327312
1.474,-0.38408529804319885
1.482375,-0.3853061667590857
1.49075,-0.3865270354749725
1.499125,-0.38774790419085936
1.5075,-0.3889687729067462
1.515875,-0.39018964162263303
1.5242499999999999,-0.3914105103385198
1.532625,-0.39263137905440665
1.541,-0.3938522477702935
1.549375,-0.3950731164861803
1.5577500000000002,-0.39629398520206716
1.5661250000000002,-0.397514853917954
1.5745,-0.39873572263384083
1.582875,-0.39995659134972766
1.59125,-0.4011774600656145
1.599625,-0.40239832878150134
1.608,-0.4036191974973881
1.6163750000000001,-0.40484006621327495
1.62475,-0.40606093492916173
1.633125,-0.4072818036450485
1.6415,-0.40850267236093524
1.649875,-0.409723541076822
1.65825,-0.41094440979270874
1.666625,-0.4121652785085955
1.675,-0.41338614722448225
1.683375,-0.41460701594036903
1.69175,-0.4158278846562558
1.700125,-0.4169131012925996
1.7085000000000001,-0.41788979626530914
1.716875,-0.41886649123801867
1.72525,-0.4198431862107282
1.733625,-0.4208198811834377
1.742,-0.42179657615614724
1.750375,-0.42277327112885676
1.75875,-0.4237499661015663
1.7671249999999998,-0.4247266610742758
1.7755,-0.42570335604698534
1.783875,-0.42668005101969486
1.7922500000000001,-0.4276567459924044
1.8006250000000001,-0.4286334409651139
1.8090000000000002,-0.42961013593782343
1.817375,-0.43058683091053296
1.82575,-0.4315635258832425
1.834125,-0.432540220855952
1.8425,-0.43351691582866153
1.850875,-0.43449361080137106
1.85925,-0.4354703057740806
1.867625,-0.4364470007467901
1.8760000000000001,-0.43742369571949963
1.8843750000000001,-0.43840039069220915
1.8927500000000002,-0.4393770856649187
1.9011250000000002,-0.4403537806376282
1.9095,-0.4413304756103377
1.917875,-0.44230717058304725
1.92625,-0.4432838655557568
1.934625,-0.4442605605284663
1.943,-0.4452372555011758
1.951375,-0.44621395047388535
1.9597499999999999,-0.44719064544659487
1.968125,-0.4481673404193044
1.9765,-0.4491440353920139
1.984875,-0.45012073036472344
1.99325,-0.45109742533743297
2.0016249999999998,-0.4520741203101425
2.01,-0.453050815282852
2.018375,-0.45402751025556154
2.02675,-0.4550042052282711
2.035125,-0.4559809002009807
2.0435000000000003,-0.4569575951736903
2.0518750000000003,-0.45793429014639986
2.0602500000000004,-0.45891098511910944
2.0686250000000004,-0.459887680091819
2.077,-0.4608643750645286
2.085375,-0.4618410700372382
2.09375,-0.46281776500994776
2.102125,-0.46379445998265734
2.1105,-0.4647711549553669
2.118875,-0.4657478499280765
2.12725,-0.4667245449007861
2.135625,-0.46770123987349566
2.144,-0.46867793484620524
2.152375,-0.4696546298189148
2.16075,-0.4706313247916244
2.169125,-0.471608019764334
2.1774999999999998,-0.47258471473704355
2.185875,-0.47356140970975313
2.19425,-0.4745381046824627
2.202625,-0.4755147996551723
2.211,-0.47649149462788193
2.219375,-0.4774681896005915
2.22775,-0.4784448845733011
2.236125,-0.47942157954601067
2.2445,-0.48039827451872025
2.2528750000000004,-0.4813749694914298
2.2612500000000004,-0.4823516644641394
2.269625,-0.483328359436849
2.278,-0.48430505440955857
2.286375,-0.48528174938226815
2.29475,-0.4862584443549777
2.303125,-0.4872351393276873
2.3115,-0.4882118343003969
2.319875,-0.48918852927310646
2.32825,-0.49016522424581604
2.336625,-0.4911419192185256
2.345,-0.4921186141912352
2.353375,-0.4930953091639448
2.3617500000000002,-0.49407200413665436
2.370125,-0.49504869910936394
2.3785,-0.4960253940820735
2.386875,-0.4970020890547831
2.39525,-0.4979787840274927
2.403625,-0.49895547900020226
2.412,-0.49993217397291184
2.420375,-0.5009088689456215
2.42875,-0.5018855639183311
2.437125,-0.5028622588910405
2.4455,-0.5038389538637501
2.453875,-0.5048156488364596
2.46225,-0.505792343809169
2.470625,-0.5067690387818785
2.479,-0.507745733754588
2.487375,-0.5087224287272974
2.49575,-0.5096991237000069
2.504125,-0.5106758186727164
2.5125,-0.5116525136454259
2.520875,-0.5126292086181353
2.52925,-0.5136059035908448
2.5376250000000002,-0.5145825985635543
2.5460000000000003,-0.5155592935362637
2.5543750000000003,-0.5165359885089732
2.56275,-0.5175126834816827
2.571125,-0.5184893784543922
2.5795,-0.5194660734271018
2.587875,-0.5204427683998113
2.59625,-0.5214194633725209
2.604625,-0.5223961583452305
2.613,-0.52337285331794
2.621375,-0.5243495482906496
2.62975,-0.5253262432633592
2.638125,-0.5263029382360688
2.6465,-0.5272796332087784
2.654875,-0.5282563281814879
2.6632499999999997,-0.5292330231541975
2.6716249999999997,-0.530209718126907
2.6799999999999997,-0.5311864130996165
2.688375,-0.5321631080723259
2.69675,-0.5331398030450353
2.7051250000000002,-0.5341164980177446
2.7135000000000002,-0.535093192990454
2.7218750000000003,-0.5360698879631633
2.7302500000000003,-0.5370465829358727
2.7386250000000003,-0.5380232779085821
2.7470000000000003,-0.5389999728812914
2.755375,-0.5399766678540008
2.76375,-0.54095336282671
2.772125,-0.5419300577994194
2.7805,-0.5429067527721287
2.788875,-0.5438834477448381
2.79725,-0.5448601427175475
2.805625,-0.5458368376902568
2.814,-0.5468135326629662
2.822375,-0.5477902276356755
2.83075,-0.548766922608385
2.839125,-0.5497436175810945
2.8475,-0.5507203125538039
2.8558749999999997,-0.5516970075265134
2.8642499999999997,-0.5526737024992229
2.8726249999999998,-0.5536503974719322
2.881,-0.5546270924446417
2.889375,-0.5556037874173512
2.8977500000000003,-0.5565804823900606
2.9061250000000003,-0.5575571773627701
2.9145000000000003,-0.5585338723354796
2.9228750000000003,-0.559510567308189
2.9312500000000004,-0.5604872622808985
2.9396250000000004,-0.561463957253608
2.948,-0.5624406522263175
2.956375,-0.5634173471990269
2.96475,-0.5643940421717364
2.973125,-0.5653707371444459
2.9815,-0.5663474321171553
2.989875,-0.5673241270898648
2.99825,-0.5683008220625743
3.006625,-0.5692775170352837
3.015,-0.5702542120079932
3.023375,-0.5712309069807027
3.03175,-0.5722076019534121
3.040125,-0.5731842969261216
3.0484999999999998,-0.5741609918988311
3.056875,-0.5751376868715405
3.06525,-0.57611438184425
3.073625,-0.5770910768169595
3.082,-0.5780677717896688
3.090375,-0.5790444667623783
3.09875,-0.5800211617350877
3.107125,-0.580997856707797
3.1155000000000004,-0.5819745516805064
3.1238750000000004,-0.5829512466532157
3.1322500000000004,-0.5839279416259251
3.140625,-0.5849046365986345
3.149,-0.5858813315713438
3.157375,-0.5868580265440532
3.16575,-0.5878347215167625
3.174125,-0.5888114164894718
3.1825,-0.5897881114621811
3.190875,-0.5907648064348905
3.19925,-0.5917415014075998
3.207625,-0.5927181963803092
3.216,-0.5936948913530186
3.224375,-0.5946715863257279
3.2327500000000002,-0.5956482812984373
3.241125,-0.5966249762711466
3.2495,-0.597601671243856
3.257875,-0.5985783662165652
3.26625,-0.5995550611892746
3.274625,-0.600531756161984
3.283,-0.6015084511346933
3.291375,-0.6024851461074027
3.29975,-0.603461841080112
3.308125,-0.6044385360528214
3.3165,-0.6054152310255307
3.3248750000000005,-0.6063919259982401
3.33325,-0.6073686209709495
3.341625,-0.6083453159436587
3.35,-0.6093220109163681
3.358375,-0.6102987058890774
3.36675,-0.6112754008617868
3.375125,-0.6122520958344961
3.3835,-0.6132287908072055
3.391875,-0.6142054857799149
3.40025,-0.6151821807526242
3.4086250000000002,-0.6161588757253336
3.4170000000000003,-0.6171355706980429
3.4253750000000003,-0.6181122656707522
3.43375,-0.6190889606434615
3.442125,-0.6200656556161709
3.4505,-0.6210423505888802
3.458875,-0.6220190455615896
3.46725,-0.622995740534299
3.475625,-0.6239724355070083
3.484,-0.6249491304797177
3.492375,-0.625925825452427
3.50075,-0.6269025204251364
3.509125,-0.6278792153978456
3.5175,-0.628855910370555
3.525875,-0.6298326053432644
3.5342499999999997,-0.6308093003159737
3.542625,-0.6317859952886831
3.551,-0.6327626902613924
3.559375,-0.6337393852341018
3.56775,-0.6347160802068111
3.576125,-0.6356927751795205
3.5845000000000002,-0.6366694701522299
3.5928750000000003,-0.6376461651249391
3.6012500000000003,-0.6386228600976485
3.6096250000000003,-0.6395995550703578
3.6180000000000003,-0.6405762500430672
3.626375,-0.6415529450157765
3.63475,-0.6425296399884859
3.643125,-0.6435063349611952
3.6515,-0.6444830299339046
3.659875,-0.645459724906614
3.66825,-0.6464364198793233
3.676625,-0.6474131148520326
3.685,-0.6483898098247419
3.693375,-0.6493665047974513
3.70175,-0.6503431997701606
3.710125,-0.65131989474287
3.7185,-0.6522965897155794
3.7268749999999997,-0.6532732846882887
3.73525,-0.6542499796609981
