z_nm,phi_V
0.0,0.0
0.008375,0.0
0.01675,0.0
0.025125,0.0
0.0335,0.0
0.041874999999999996,0.0
0.05025,0.0
0.058625000000000003,0.0
0.067,0.0
0.075375,0.0
0.08374999999999999,0.0
0.092125,0.0
0.1005,0.0
0.108875,0.0
0.11725000000000001,0.0
0.125625,0.0
0.134,0.0
0.142375,0.0
0.15075,0.0
0.15912500000000002,0.0
0.16749999999999998,0.0
0.175875,0.0
0.18425,0.0
0.192625,0.0
0.201,0.0
0.209375,0.0
0.21775,0.0
0.22612500000000002,0.0
0.23450000000000001,0.0
0.242875,0.0
0.25125,0.0
0.259625,0.0
0.268,0.0
0.276375,0.0
0.28475,0.0
0.293125,0.0
0.3015,0.0
0.309875,0.0
0.31825000000000003,0.0
0.326625,0.0
0.33499999999999996,0.0
0.34337500000000004,0.0
0.35175,0.0
0.360125,0.0
0.3685,0.0
0.376875,0.0
0.38525,0.0
0.393625,0.0
0.402,0.0
0.410375,0.0
0.41875,0.0
0.42712500000000003,0.0
0.4355,0.0
0.443875,0.0
0.45225000000000004,0.0
0.460625,0.0
0.46900000000000003,0.0
0.477375,0.0
0.48575,0.0
0.494125,0.0
0.5025,0.0
0.5108750000000001,0.0
0.51925,0.0
0.527625,0.0
0.536,0.0
0.5443749999999999,0.0
0.55275,0.0
0.561125,0.0
0.5695,0.0
0.577875,0.0
0.58625,0.0
0.594625,0.0
0.603,0.0
0.611375,0.0
0.61975,0.0
0.628125,0.0
0.6365000000000001,0.0
0.644875,0.0
0.65325,0.0
0.661625,0.0
0.6699999999999999,0.0
0.6783750000000001,0.0
0.6867500000000001,0.0
0.695125,0.0
0.7035,0.0
0.711875,0.0
0.72025,0.0
0.7286250000000001,0.0
0.737,0.0
0.745375,0.0
0.75375,0.0
0.7621249999999999,0.0
0.7705,0.0
0.7788750000000001,0.0
0.78725,0.0
0.795625,0.0
0.804,0.0
0.812375,0.0
0.82075,0.0
0.829125,0.0
0.8375,0.0
0.845875,0.0
0.8542500000000001,0.0
0.862625,0.0
0.871,0.0
0.879375,0.0
0.88775,0.0
0.8961250000000001,0.0
0.9045000000000001,0.0
0.912875,0.0
0.92125,0.0
0.929625,0.0
0.9380000000000001,0.0
0.9463750000000001,0.0
0.95475,0.0
0.963125,0.0
0.9715,0.0
0.9798749999999999,0.0
0.98825,0.0
0.996625,0.0
1.005,0.0
1.013375,0.0
1.0217500000000002,0.0
1.0301250000000002,0.0
1.0385,0.0
1.046875,0.0
1.05525,0.0
1.063625,0.0
1.072,0.0
1.080375,0.0
1.0887499999999999,0.0
1.097125,0.0
1.1055,0.0
1.113875,0.0
1.12225,0.0
1.1306250000000002,0.0
1.139,0.0
1.147375,0.0
1.15575,0.0
1.164125,0.0
1.1725,0.0
1.1808750000000001,0.0
1.18925,0.0
1.197625,0.0
1.206,0.0
1.214375,0.0
1.22275,0.0
1.231125,0.0
1.2395,0.0
1.247875,0.0
1.25625,0.0
1.264625,0.0
1.2730000000000001,0.0
1.281375,0.0
1.28975,0.0
1.298125,0.0
1.3065,0.0
1.314875,0.0
1.32325,0.0
1.3316249999999998,0.0
1.3399999999999999,0.0
1.348375,0.0
1.3567500000000001,0.0
1.3651250000000001,0.0
1.3735000000000002,0.0
1.381875,0.0
1.39025,0.0
1.398625,0.0
1.407,0.0
1.415375,0.0
1.42375,0.0
1.4321249999999999,0.0
1.4405,0.0
1.4488750000000001,0.0
1.4572500000000002,0.0
1.4656250000000002,0.0
1.474,0.0
1.482375,0.0
1.49075,0.0
1.499125,0.0
1.5075,0.0
1.515875,0.0
1.5242499999999999,0.0
1.532625,0.0
1.541,0.0
1.549375,0.0
1.5577500000000002,0.0
1.5661250000000002,0.0
1.5745,0.0
1.582875,0.0
1.59125,0.0
1.599625,0.0
1.608,0.0
1.6163750000000001,0.0
1.62475,0.0
1.633125,0.0
1.6415,0.0
1.649875,0.0
1.65825,0.0
1.666625,0.0
1.675,0.0
1.683375,0.0
1.69175,0.0
1.700125,0.0
1.7085000000000001,0.0
1.716875,0.0
1.72525,0.0
1.733625,0.0
1.742,0.0
1.750375,0.0
1.75875,0.0
1.7671249999999998,0.0
1.7755,0.0
1.783875,0.0
1.7922500000000001,0.0
1.8006250000000001,0.0
1.8090000000000002,0.0
1.817375,0.0
1.82575,0.0
1.834125,0.0
1.8425,0.0
1.850875,0.0
1.85925,0.0
1.867625,0.0
1.8760000000000001,0.0
1.8843750000000001,0.0
1.8927500000000002,0.0
1.9011250000000002,0.0
1.9095,0.0
1.917875,0.0
1.92625,0.0
1.934625,0.0
1.943,0.0
1.951375,0.0
1.9597499999999999,0.0
1.968125,0.0
1.9765,0.0
1.984875,0.0
1.99325,0.0
2.0016249999999998,0.0
2.01,0.0
2.018375,0.0
2.02675,0.0
2.035125,0.0
2.0435000000000003,0.0
2.0518750000000003,0.0
2.0602500000000004,0.0
2.0686250000000004,0.0
2.077,0.0
2.085375,0.0
2.09375,0.0
2.102125,0.0
2.1105,0.0
2.118875,0.0
2.12725,0.0
2.135625,0.0
2.144,0.0
2.152375,0.0
2.16075,0.0
2.169125,0.0
2.1774999999999998,0.0
2.185875,0.0
2.19425,0.0
2.202625,0.0
2.211,0.0
2.219375,0.0
2.22775,0.0
2.236125,0.0
2.2445,0.0
2.2528750000000004,0.0
2.2612500000000004,0.0
2.269625,0.0
2.278,0.0
2.286375,0.0
2.29475,0.0
2.303125,0.0
2.3115,0.0
2.319875,0.0
2.32825,0.0
2.336625,0.0
2.345,0.0
2.353375,0.0
2.3617500000000002,0.0
2.370125,0.0
2.3785,0.0
2.386875,0.0
2.39525,0.0
2.403625,0.0
2.412,0.0
2.420375,0.0
2.42875,0.0
2.437125,0.0
2.4455,0.0
2.453875,0.0
2.46225,0.0
2.470625,0.0
2.479,0.0
2.487375,0.0
2.49575,0.0
2.504125,0.0
2.5125,0.0
2.520875,0.0
2.52925,0.0
2.5376250000000002,0.0
2.5460000000000003,0.0
2.5543750000000003,0.0
2.56275,0.0
2.571125,0.0
2.5795,0.0
2.587875,0.0
2.59625,0.0
2.604625,0.0
2.613,0.0
2.621375,0.0
2.62975,0.0
2.638125,0.0
2.6465,0.0
2.654875,0.0
